iter	Passed	Remaining
403	1955	2884
404	1957	2876
405	1965	2875
406	1967	2866
407	1968	2856
408	1969	2846
409	1971	2836
410	1972	2826
411	1973	2816
412	1974	2806
413	1981	2804
414	1982	2795
415	1984	2786
416	1988	2779
417	1989	2770
418	1995	2766
419	1996	2757
420	1997	2747
421	1998	2737
422	2000	2728
423	2001	2719
424	2002	2709
425	2003	2700
426	2005	2690
427	2006	2682
428	2008	2672
429	2009	2663
430	2010	2654
431	2011	2645
432	2013	2636
433	2014	2626
434	2015	2617
435	2016	2608
436	2019	2601
437	2020	2592
438	2021	2583
439	2022	2574
440	2024	2565
441	2025	2556
442	2026	2547
443	2027	2538
444	2028	2530
445	2031	2523
446	2032	2514
447	2034	2506
448	2035	2498
449	2037	2489
450	2038	2481
451	2039	2472
452	2040	2463
453	2045	2459
454	2046	2451
455	2048	2443
456	2049	2435
457	2050	2427
458	2052	2418
459	2053	2410
460	2054	2401
461	2059	2398
462	2062	2392
463	2064	2384
464	2067	2379
465	2069	2371
466	2070	2363
467	2072	2355
468	2073	2347
469	2074	2339
470	2075	2331
471	2077	2323
472	2078	2315
473	2079	2307
474	2080	2299
475	2084	2294
476	2086	2287
477	2087	2279
478	2088	2271
479	2089	2264
480	2091	2256
481	2092	2248
482	2093	2240
483	2094	2232
484	2095	2225
485	2100	2222
486	2102	2214
487	2103	2206
488	2104	2199
489	2105	2191
490	2107	2184
491	2108	2176
492	2109	2169
493	2110	2161
494	2113	2155
495	2114	2148
496	2116	2141
497	2118	2135
498	2119	2128
499	2120	2120
500	2121	2113
501	2122	2106
502	2125	2099
503	2126	2092
504	2127	2085
505	2129	2078
506	2130	2071
507	2131	2064
508	2132	2057
509	2133	2050
510	2134	2042
511	2141	2041
512	2144	2035
513	2145	2028
514	2146	2021
515	2148	2014
516	2149	2007
517	2153	2004
518	2156	1998
519	2158	1992
520	2161	1987
521	2163	1981
522	2169	1979
523	2171	1972
524	2172	1965
525	2173	1958
526	2174	1951
527	2175	1945
528	2177	1938
529	2178	1931
530	2179	1924
531	2184	1921
532	2185	1915
533	2187	1908
534	2188	1901
535	2189	1895
536	2190	1888
537	2191	1881
538	2192	1875
539	2193	1868
540	2198	1865
541	2199	1858
542	2201	1852
543	2202	1846
544	2203	1839
545	2204	1833
546	2206	1826
547	2207	1820
548	2208	1814
549	2213	1810
550	2214	1804
551	2215	1798
552	2217	1792
553	2218	1786
554	2219	1779
555	2221	1773
556	2222	1767
557	2223	1761
558	2228	1758
559	2230	1752
560	2231	1746
561	2233	1740
562	2234	1734
563	2235	1728
564	2237	1722
565	2241	1718
566	2244	1714
567	2246	1708
568	2249	1704
569	2251	1698
570	2252	1692
571	2258	1689
572	2259	1683
573	2260	1677
574	2261	1671
575	2263	1666
576	2264	1660
577	2265	1654
578	2267	1648
579	2268	1642
580	2269	1636
581	2270	1631
582	2272	1625
583	2273	1619
584	2274	1613
585	2275	1607
586	2277	1602
587	2278	1596
588	2282	1592
589	2283	1587
590	2284	1581
591	2286	1575
592	2287	1569
593	2288	1564
594	2289	1558
595	2290	1552
596	2292	1547
597	2293	1541
598	2298	1538
599	2299	1533
600	2301	1527
601	2302	1522
602	2303	1516
603	2304	1510
604	2305	1505
605	2307	1499
606	2308	1494
607	2313	1491
608	2314	1486
609	2316	1480
610	2317	1475
611	2318	1469
612	2319	1464
613	2320	1458
614	2321	1453
615	2322	1448
616	2325	1443
617	2326	1437
618	2327	1432
619	2328	1427
620	2329	1421
621	2330	1416
622	2331	1411
623	2332	1405
624	2336	1402
625	2339	1397
626	2341	1392
627	2342	1387
628	2348	1384
629	2357	1384
630	2360	1380
631	2361	1375
632	2362	1369
633	2363	1364
634	2367	1360
635	2369	1356
636	2370	1350
637	2371	1345
638	2373	1340
639	2374	1335
640	2375	1330
641	2376	1325
642	2377	1320
643	2379	1315
644	2384	1312
645	2385	1307
646	2386	1302
647	2387	1297
648	2388	1292
649	2390	1286
650	2391	1281
651	2392	1276
652	2397	1274
653	2399	1269
654	2400	1264
655	2401	1259
656	2402	1254
657	2403	1249
658	2405	1244
659	2406	1239
660	2407	1234
661	2412	1231
662	2413	1226
663	2414	1221
664	2415	1217
665	2417	1212
666	2418	1207
667	2419	1202
668	2420	1197
669	2421	1192
670	2426	1189
671	2428	1185
672	2430	1180
673	2434	1177
674	2435	1172
675	2436	1168
676	2442	1165
677	2443	1160
678	2444	1155
679	2445	1151
680	2447	1146
681	2449	1142
682	2451	1137
683	2456	1134
684	2457	1130
685	2459	1125
686	2461	1121
687	2462	1116
688	2463	1111
689	2464	1107
690	2465	1102
691	2469	1099
